Date,Predicted
2020-09-01,117.97198825616073
2020-09-02,119.29711650741733
2020-09-03,119.17418398454504
2020-09-04,117.50596879792073
2020-09-05,120.54836415536478
2020-09-06,116.45194214593798
2020-09-07,112.6399018850038
2020-09-08,120.28678029571144
2020-09-09,124.86419344906717
2020-09-10,126.61059426879822
2020-09-11,121.44774759994898
2020-09-12,123.50078259484658
2020-09-13,125.45871484622332
2020-09-14,123.85466934078556
2020-09-15,125.90621873674895
2020-09-16,130.12680084764435
2020-09-17,126.02949952160863
2020-09-18,122.17787950101825
2020-09-19,122.16579041646291
2020-09-20,121.77790605432591
2020-09-21,125.49155099522913
2020-09-22,126.02642951128719
2020-09-23,127.53696189355097
2020-09-24,125.42678355552587
2020-09-25,124.17442928033505
2020-09-26,124.17079275480674
2020-09-27,121.91873552567577
2020-09-28,123.72217169650705
2020-09-29,129.64809427981132
2020-09-30,128.06028896735538
2020-10-01,125.0207401643306
2020-10-02,124.69932867745021
2020-10-03,122.84406244509638
2020-10-04,122.79281114036314
2020-10-05,131.15215330799444
2020-10-06,131.7354564589355
2020-10-07,133.75643778283754
2020-10-08,132.8191251842959
2020-10-09,128.24575857033923
2020-10-10,126.05095834313927
2020-10-11,128.46164286062412
2020-10-12,137.22418652521742
2020-10-13,136.61463269909933
2020-10-14,137.05177061234906
2020-10-15,131.19219601945852
2020-10-16,125.95616339347308
2020-10-17,127.05878745846661
2020-10-18,128.30385678832553
2020-10-19,136.88601744365985
2020-10-20,145.11317404559762
2020-10-21,143.46537089292758
2020-10-22,138.61511383171197
2020-10-23,130.21048430234208
2020-10-24,128.26783493228493
2020-10-25,129.52510457941506
2020-10-26,144.7658188509889
2020-10-27,142.29230314963732
2020-10-28,145.01016467031963
2020-10-29,133.85001479402658
2020-10-30,132.42843846269466
2020-10-31,130.79612623561303
2020-11-01,125.20043480022134
2020-11-02,133.55802235822736
2020-11-03,134.0653338128964
2020-11-04,134.15385659488268
2020-11-05,133.80538319518936
2020-11-06,129.67992756480558
2020-11-07,127.76102491688358
2020-11-08,130.77458329034567
2020-11-09,143.34407994628464
2020-11-10,141.93741388054258
2020-11-11,141.3282720903622
2020-11-12,136.7539804338252
2020-11-13,136.96133893766773
2020-11-14,124.35836530018919
2020-11-15,126.02316783473435
2020-11-16,137.85795379391638
2020-11-17,137.98845726740856
2020-11-18,137.92636847428906
2020-11-19,127.02218817052612
2020-11-20,120.2200857400144
2020-11-21,115.8585194450619
2020-11-22,114.9018257889662
2020-11-23,127.63114720142981
2020-11-24,131.92337502380767
2020-11-25,127.13528163050945
2020-11-26,122.04761304078704
2020-11-27,117.97071529677054
2020-11-28,110.11289235309607
2020-11-29,112.49856892968651
2020-11-30,121.56139190199939
2020-12-01,120.6803302556899
2020-12-02,118.4779833405016
2020-12-03,108.61325358122214
2020-12-04,105.50448209963703
2020-12-05,107.06147287738378
2020-12-06,109.91567117895423
2020-12-07,113.4142765143181
2020-12-08,118.05880485193585
2020-12-09,114.6423220906468
2020-12-10,108.7466596369463
2020-12-11,107.0278689743682
2020-12-12,109.61773062353254
2020-12-13,110.29467961738123
2020-12-14,116.60538176617852
2020-12-15,115.48837750181801
2020-12-16,110.52291035126358
2020-12-17,105.62856158286387
2020-12-18,106.56067410909502
2020-12-19,112.15825473521392
2020-12-20,112.81597984324152
2020-12-21,113.42941768738709
2020-12-22,112.95312592052618
2020-12-23,115.69341661059624
2020-12-24,107.65345663965603
2020-12-25,110.05949614967307
2020-12-26,111.85582567063186
2020-12-27,108.00964427864622
2020-12-28,110.38255480425079
2020-12-29,113.4187861818255
2020-12-30,116.9575385270078
2020-12-31,112.76959365242064
2021-01-01,109.63624850737015
2021-01-02,105.88550664358714
2021-01-03,105.95978931962422
2021-01-04,106.18582168927865
2021-01-05,111.46810361032219
2021-01-06,116.06964998499075
2021-01-07,114.5186853553765
2021-01-08,112.17920593904813
2021-01-09,106.39326628839731
2021-01-10,107.5816990951997
2021-01-11,112.42388933135014
2021-01-12,112.3516378847046
2021-01-13,115.51587831993058
2021-01-14,110.566886946016
2021-01-15,109.33965011297357
2021-01-16,105.027061587542
2021-01-17,106.66060482713434
2021-01-18,112.17852015044767
2021-01-19,111.04064187907669
2021-01-20,112.84193409737072
2021-01-21,108.53908135037004
2021-01-22,106.7519575820539
2021-01-23,103.12942250974909
2021-01-24,100.26601250043207
2021-01-25,106.06919182270612
2021-01-26,105.424215373117
2021-01-27,104.19595575270921
2021-01-28,100.69212618844936
2021-01-29,100.40591107931829
2021-01-30,91.16218893016162
2021-01-31,89.38043998607584
2021-02-01,95.37766385289592
2021-02-02,95.47190603168919
2021-02-03,94.41121931029713
2021-02-04,92.92929346954028
2021-02-05,95.70892335515994
2021-02-06,94.40851292597509
2021-02-07,94.73985225664325
2021-02-08,97.42867399446838
2021-02-09,98.55092852917676
2021-02-10,102.7960452733574
2021-02-11,98.88529602992979
2021-02-12,95.85286087025197
2021-02-13,90.52541423013639
2021-02-14,91.52128862378467
2021-02-15,95.37004951249314
2021-02-16,95.32766870400503
2021-02-17,93.74695274634054
2021-02-18,89.2914639000535
2021-02-19,91.44469220665641
2021-02-20,88.88771386230863
2021-02-21,89.10237963177224
2021-02-22,92.6780999848985
2021-02-23,91.52392198459103
2021-02-24,93.35706966915639
2021-02-25,86.3495151991448
2021-02-26,88.10840806685455
2021-02-27,82.2991062232396
